Age,Tenure,Usage Frequency,Support Calls,Payment Delay,Total Spend,Last Interaction,Churn,Gender,Subscription Type,Contract Length
39.39226,31.036716,15.794524,3.6140203,13.016244,631.25757,14.422125,0.5683962,Male,Standard,Quarterly
39.391605,31.040264,15.796608,3.6136198,13.010559,631.25867,14.425944,0.5679887,Male,Standard,Quarterly
39.392612,31.034813,15.793407,3.6142347,13.019287,631.25696,14.420081,0.5686144,Male,Standard,Quarterly
39.39213,31.037422,15.794939,3.6139402,13.015112,631.2578,14.422887,0.568315,Male,Standard,Quarterly
39.39217,31.037233,15.794828,3.6139617,13.015411,631.25775,14.422686,0.56833655,Male,Standard,Quarterly
39.392853,31.033524,15.792648,3.61438,13.021354,631.2566,14.418693,0.5687625,Male,Standard,Quarterly
39.39286,31.033478,15.792619,3.6143854,13.021434,631.2566,14.418639,0.56876814,Male,Standard,Quarterly
39.39212,31.037483,15.794975,3.6139333,13.015014,631.2578,14.422952,0.568308,Male,Standard,Quarterly
39.392475,31.03558,15.793855,3.6141481,13.018064,631.2572,14.420903,0.5685267,Male,Standard,Quarterly
39.392517,31.035345,15.793718,3.6141748,13.018438,631.25714,14.420651,0.5685535,Male,Standard,Quarterly
39.391895,31.0387,15.795689,3.6137967,13.013068,631.2582,14.424258,0.5681686,Male,Standard,Quarterly
39.392723,31.034212,15.793053,3.6143026,13.020254,631.25684,14.419433,0.5686836,Male,Standard,Quarterly
39.392582,31.035,15.793514,3.6142135,13.018993,631.257,14.420279,0.56859326,Male,Standard,Quarterly
39.39201,31.03808,15.795326,3.6138663,13.014056,631.25793,14.423594,0.5682394,Male,Standard,Quarterly
39.392467,31.035608,15.793872,3.6141448,13.018016,631.2572,14.420935,0.5685233,Male,Standard,Quarterly
39.392567,31.035059,15.793552,3.6142066,13.018891,631.257,14.420348,0.568586,Male,Standard,Quarterly
39.391804,31.039196,15.7959795,3.613741,13.012273,631.2583,14.424791,0.56811166,Male,Standard,Quarterly
39.393097,31.0322,15.791872,3.6145287,13.023471,631.25616,14.417272,0.5689142,Male,Standard,Quarterly
39.391857,31.038904,15.795808,3.6137736,13.012741,631.25824,14.424479,0.5681451,Male,Standard,Quarterly
39.3928,31.041277,15.796016,3.6136162,13.006641,631.31836,14.429896,0.56800187,Male,Standard,Quarterly
39.393097,31.0322,15.791872,3.6145287,13.023471,631.25616,14.417272,0.5689142,Male,Standard,Quarterly
39.392117,31.037493,15.79498,3.6139321,13.014995,631.2578,14.422964,0.5683066,Male,Standard,Quarterly
39.392467,31.035622,15.79388,3.6141434,13.017996,631.25726,14.420949,0.56852174,Male,Standard,Quarterly
39.3921,31.037592,15.795039,3.6139214,13.014841,631.2578,14.423068,0.5682956,Male,Standard,Quarterly
39.39255,31.03515,15.793604,3.6141965,13.018749,631.2571,14.420443,0.5685758,Male,Standard,Quarterly
39.391865,31.038868,15.795789,3.6137774,13.012795,631.25824,14.424441,0.568149,Male,Standard,Quarterly
39.392246,31.036812,15.7945795,3.6140094,13.016091,631.25757,14.422229,0.5683853,Male,Standard,Quarterly
39.391888,31.038734,15.7957115,3.6137924,13.013006,631.2582,14.424299,0.5681641,Male,Standard,Quarterly
39.393097,31.0322,15.791872,3.6145287,13.023471,631.25616,14.417272,0.5689142,Male,Standard,Quarterly
39.393097,31.0322,15.791872,3.6145287,13.023471,631.25616,14.417272,0.5689142,Male,Standard,Quarterly
39.392704,31.034328,15.79312,3.6142895,13.020065,631.25684,14.419558,0.5686702,Male,Standard,Quarterly
39.39217,31.037209,15.794812,3.613965,13.015458,631.25775,14.422654,0.5683398,Male,Standard,Quarterly
39.392624,31.034767,15.793378,3.6142397,13.019363,631.25696,14.42003,0.56861985,Male,Standard,Quarterly
39.3929,31.033258,15.792493,3.6144094,13.021779,631.25653,14.418408,0.56879294,Male,Standard,Quarterly
39.391216,31.042381,15.797853,3.6133811,13.007167,631.2592,14.428223,0.56774545,Male,Standard,Quarterly
39.393036,31.032516,15.792057,3.6144934,13.022966,631.2563,14.41761,0.568878,Male,Standard,Quarterly
39.392017,31.038038,15.7953,3.6138706,13.014126,631.25793,14.423547,0.5682444,Male,Standard,Quarterly
39.392155,31.037308,15.794871,3.6139534,13.015296,631.25775,14.422762,0.5683283,Male,Standard,Quarterly
39.391846,31.038963,15.795843,3.6137667,13.012647,631.25824,14.4245405,0.56813836,Male,Standard,Quarterly
39.39226,31.036716,15.794524,3.6140203,13.016244,631.25757,14.422125,0.5683962,Male,Standard,Quarterly
39.39208,31.0377,15.795103,3.6139088,13.014663,631.2579,14.423187,0.56828296,Male,Standard,Quarterly
39.393097,31.0322,15.791872,3.6145287,13.023471,631.25616,14.417272,0.5689142,Male,Standard,Quarterly
39.392303,31.036499,15.794395,3.6140444,13.016589,631.2575,14.421893,0.568421,Male,Standard,Quarterly
39.392742,31.034107,15.792993,3.6143138,13.020419,631.2568,14.419321,0.5686954,Male,Standard,Quarterly
39.392628,31.034744,15.7933655,3.6142423,13.019401,631.25696,14.420004,0.5686225,Male,Standard,Quarterly
39.391815,31.039135,15.795943,3.6137476,13.012371,631.25824,14.4247265,0.56811863,Male,Standard,Quarterly
39.392372,31.036133,15.794182,3.6140857,13.017176,631.2574,14.4215,0.568463,Male,Standard,Quarterly
39.39275,31.034071,15.79297,3.6143184,13.02048,631.2568,14.41928,0.56869984,Male,Standard,Quarterly
39.392876,31.033379,15.792562,3.614396,13.021585,631.25653,14.418537,0.5687791,Male,Standard,Quarterly
39.39192,31.038591,15.795625,3.6138086,13.013241,631.2581,14.424143,0.568181,Male,Standard,Quarterly
39.39178,31.039326,15.796057,3.613726,13.012064,631.2583,14.424934,0.5680966,Male,Standard,Quarterly
39.392624,31.034758,15.793373,3.614241,13.019379,631.25696,14.420019,0.568621,Male,Standard,Quarterly
39.39272,31.034254,15.793077,3.6142974,13.0201845,631.25684,14.419478,0.5686787,Male,Standard,Quarterly
39.392452,31.035683,15.793917,3.6141367,13.017896,631.25726,14.421016,0.56851465,Male,Standard,Quarterly
39.39293,31.0331,15.792401,3.6144276,13.022031,631.2565,14.41824,0.5688109,Male,Standard,Quarterly
39.39267,31.034521,15.793236,3.614267,13.019754,631.2569,14.419767,0.56864786,Male,Standard,Quarterly
39.39297,31.03289,15.792275,3.6144514,13.022372,631.2564,14.418009,0.5688355,Male,Standard,Quarterly
39.39214,31.037388,15.79492,3.6139443,13.015163,631.2578,14.422852,0.56831884,Male,Standard,Quarterly
39.392765,31.033983,15.792918,3.614328,13.020618,631.2568,14.419187,0.5687098,Male,Standard,Quarterly
39.392967,31.032911,15.792289,3.614449,13.022335,631.2565,14.4180355,0.5688327,Male,Standard,Quarterly
39.39134,31.041718,15.797461,3.6134565,13.008234,631.2591,14.4275055,0.567822,Male,Standard,Quarterly
39.39269,31.034424,15.793176,3.6142788,13.019915,631.2569,14.41966,0.56865937,Male,Standard,Quarterly
39.392677,31.034458,15.793198,3.6142743,13.019855,631.2569,14.419699,0.568655,Male,Standard,Quarterly
39.392155,31.03731,15.794871,3.613953,13.015293,631.25775,14.422765,0.568328,Male,Standard,Quarterly
39.392918,31.033165,15.792438,3.6144207,13.021931,631.2565,14.418306,0.5688037,Male,Standard,Quarterly
39.393097,31.0322,15.791872,3.6145287,13.023471,631.25616,14.417272,0.5689142,Male,Standard,Quarterly
39.39269,31.034412,15.79317,3.6142793,13.019932,631.2569,14.419649,0.5686605,Male,Standard,Quarterly
39.392666,31.03454,15.793244,3.614265,13.019727,631.2569,14.419786,0.56864583,Male,Standard,Quarterly
39.392384,31.036049,15.794131,3.6140952,13.017311,631.2574,14.421408,0.56847274,Male,Standard,Quarterly
39.392956,31.032953,15.792313,3.6144443,13.022266,631.2565,14.418079,0.5688278,Male,Standard,Quarterly
39.392376,31.036097,15.794161,3.61409,13.017234,631.2574,14.42146,0.5684672,Male,Standard,Quarterly
39.391808,31.03918,15.795973,3.6137419,13.012295,631.2583,14.424779,0.56811315,Male,Standard,Quarterly
39.391262,31.042147,15.797714,3.613408,13.007546,631.25916,14.427969,0.56777257,Male,Standard,Quarterly
39.39246,31.035654,15.7939,3.6141396,13.017941,631.25726,14.420984,0.5685179,Male,Standard,Quarterly
39.39272,31.034237,15.793067,3.6142993,13.020214,631.25684,14.419459,0.56868076,Male,Standard,Quarterly
39.392193,31.03711,15.794756,3.6139753,13.015611,631.2577,14.422551,0.5683508,Male,Standard,Quarterly
39.39246,31.035646,15.793897,3.6141405,13.017951,631.25726,14.420979,0.5685187,Male,Standard,Quarterly
39.392677,31.034475,15.793207,3.6142726,13.019831,631.2569,14.419718,0.5686533,Male,Standard,Quarterly
39.393047,31.03245,15.792017,3.6145008,13.023073,631.2563,14.417538,0.5688857,Male,Standard,Quarterly
39.392414,31.03589,15.794038,3.6141133,13.017568,631.2573,14.421237,0.5684911,Male,Standard,Quarterly
39.39195,31.0384,15.795514,3.61383,13.013544,631.25806,14.423939,0.56820273,Male,Standard,Quarterly
39.392326,31.036383,15.794329,3.6140575,13.016776,631.2574,14.421768,0.5684344,Male,Standard,Quarterly
39.392338,31.036316,15.794289,3.6140652,13.016885,631.2574,14.421696,0.5684422,Male,Standard,Quarterly
39.3919,31.038675,15.795675,3.613799,13.013104,631.2582,14.424234,0.5681712,Male,Standard,Quarterly
39.392757,31.034044,15.792953,3.614321,13.020522,631.2568,14.419252,0.5687028,Male,Standard,Quarterly
39.392113,31.037539,15.795008,3.6139271,13.014924,631.2578,14.423011,0.5683017,Male,Standard,Quarterly
39.39215,31.037333,15.794885,3.6139507,13.015257,631.25775,14.422789,0.56832546,Male,Standard,Quarterly
39.39172,31.039639,15.796239,3.6136909,13.011565,631.2584,14.425268,0.5680609,Male,Standard,Quarterly
39.392204,31.037033,15.794709,3.6139843,13.015735,631.2577,14.422467,0.56835973,Male,Standard,Quarterly
39.392612,31.034807,15.793402,3.6142352,13.0192995,631.25696,14.420073,0.56861526,Male,Standard,Quarterly
39.391514,31.040777,15.796911,3.613562,13.009737,631.2587,14.426496,0.56792974,Male,Standard,Quarterly
39.393047,31.032465,15.7920265,3.6144993,13.023052,631.2563,14.417553,0.56888413,Male,Standard,Quarterly
39.391666,31.039944,15.79642,3.6136558,13.011072,631.25854,14.425599,0.5680255,Male,Standard,Quarterly
39.392822,31.033695,15.792748,3.6143608,13.021081,631.25665,14.418877,0.568743,Male,Standard,Quarterly
39.392483,31.035517,15.793818,3.6141553,13.018167,631.2572,14.420834,0.56853396,Male,Standard,Quarterly
