epoch,total_loss,reconstruction_loss,kl_loss
1.000000000000000000e+00,1.640230064619608297e-01,1.639164398885257778e-01,1.065664918052699529e-04
2.000000000000000000e+00,1.634946073823120571e-01,1.634901723512198202e-01,4.435055329130589776e-06
3.000000000000000000e+00,1.634780777880519287e-01,1.634759296742855916e-01,2.148077373337291274e-06
4.000000000000000000e+00,1.634708603381764547e-01,1.634694458524789673e-01,1.414564126461655476e-06
5.000000000000000000e+00,1.634693123043362006e-01,1.634684712430043152e-01,8.409271273763391811e-07
6.000000000000000000e+00,1.634645633864471870e-01,1.634637757443724304e-01,7.877147051935083544e-07
7.000000000000000000e+00,1.634604767267693604e-01,1.634599791923524448e-01,4.975780677045375097e-07
8.000000000000000000e+00,1.634573350688888760e-01,1.634569791171305020e-01,3.557628494653620343e-07
9.000000000000000000e+00,1.634546628083995978e-01,1.634540720173686401e-01,5.906922531870810676e-07
1.000000000000000000e+01,1.634568414057460395e-01,1.634565602085067959e-01,2.812074141485642364e-07
1.100000000000000000e+01,1.634545211392320896e-01,1.634543449421925476e-01,1.760815253642836967e-07
1.200000000000000000e+01,1.634541716323881511e-01,1.634540401280185906e-01,1.315331795180065771e-07
1.300000000000000000e+01,1.634532391960112074e-01,1.634531192513958564e-01,1.197327808852421802e-07
1.400000000000000000e+01,1.634528785619576430e-01,1.634527810988474772e-01,9.748612093481323683e-08
1.500000000000000000e+01,1.634507831970043179e-01,1.634506527199281467e-01,1.305911552829012100e-07
1.600000000000000000e+01,1.634500761271734104e-01,1.634499664338648905e-01,1.096936454161734644e-07
1.700000000000000000e+01,1.634494498891131409e-01,1.634493286468640116e-01,1.213647251627465383e-07
1.800000000000000000e+01,1.634495968353246453e-01,1.634494927650958218e-01,1.039265838670108125e-07
1.900000000000000000e+01,1.634487738111022603e-01,1.634487152878189575e-01,5.853970049620161202e-08
2.000000000000000000e+01,1.634477196350498929e-01,1.634476777106653178e-01,4.153373867119619560e-08
2.100000000000000000e+01,1.634482957736328179e-01,1.634482526921914591e-01,4.303482938688122958e-08
2.200000000000000000e+01,1.634481693732894314e-01,1.634480942294801731e-01,7.510270346728515635e-08
2.300000000000000000e+01,1.634486293628357734e-01,1.634485759868331278e-01,5.343363454072854515e-08
2.400000000000000000e+01,1.634467840410974426e-01,1.634466996300203145e-01,8.439939666935923095e-08
2.500000000000000000e+01,1.634469152534994141e-01,1.634468238784543559e-01,9.132849810325468165e-08
2.600000000000000000e+01,1.634478117994888346e-01,1.634477724271173604e-01,3.931089030944117832e-08
2.700000000000000000e+01,1.634483017103073310e-01,1.634482571798415995e-01,4.433621733961228214e-08
2.800000000000000000e+01,1.634462680478400431e-01,1.634461385764300612e-01,1.292402542089425466e-07
2.900000000000000000e+01,1.634452855119857551e-01,1.634452181107247104e-01,6.764638414076014597e-08
3.000000000000000000e+01,1.634462755957431790e-01,1.634462328819647203e-01,4.241511081015170497e-08
